,Dónde estás trabajando,Cantidad de personas en tu organización,Actividad principal,Salario mensual o retiro BRUTO (en tu moneda local),Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Plataformas,Lenguajes de programación o tecnologías.,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,Beneficios extra
84,Neuquén,201-500,Producto basado en Software,3556,5250,7619,7545,710,"Firebase,Linux,SAP","Delphi,PHP,Python,Smalltalk,Swift","Akka,Rails,Symfony","Aerospike,Cassandra,Oracle,Percona XtraBackup","Jest,Mocha,Postman,SoapUI","Notepad++,Visual Studio Code","Abono de celular,Licencia de paternidad / maternidad extendida"
85,Mendoza,2-10,Producto basado en Software,9500,6369,6553,8283,8970,"Microcontroladores,OpenStack","C++,HTML,Rust",TensorFlow,"Amazon RDS/Aurora,MySQL,Sybase","HP LoadRunner,Mocha,SoapUI,Test Complete,Visual Studio Coded UI",,Clases de idiomas
86,La Pampa,501-1000,Servicios / Consultoría de Software / Digital,8364,6007,9331,4470,1794,"Firebase,OpenShift,Solaris","C,Dart,Groovy,Java,Solidity,TypeScript",".NET Core,Bootstrap,Vue.js","Amazon Redshift,Cassandra,MariaDB","HP LoadRunner,Karma,Test Complete","Android Studio,Atom,IntelliJ,WebStorm",Vacaciones flexibles (adicionales a las reglamentarias)
87,Entre Ríos,10001+,Producto basado en Software,7625,270,9517,7289,7576,"Firebase,IBM Cloud / Watson,Microcontroladores,OpenStack,SAP","C,Delphi,Groovy,Elixir,Erlang,Matlab,Solidity","Cordova,Laravel","MySQL,Percona Server",PHPUnit,"Android Studio,Atom,Coda,Vi,Xcode","Lactario en la oficina,Licencia de paternidad / maternidad extendida"
88,Chubut,1 (solamente yo),Servicios / Consultoría de Software / Digital,9883,3511,362,6257,1767,"Linux,Serverless","Go,Erlang,Solidity","Hadoop,jQuery","Apache HBase,Microsoft SQL Server","Selenium,Telerik Studio,TFS",,
89,GBA,5001-10000,Servicios / Consultoría de Software / Digital,4985,1931,4004,482,5248,"Firebase,Windows Server",,"Angular,Hadoop,Laravel,React.js,Symfony","Aerospike,IBM Db2","JUnit,RSpec,TFS",Vim,"Abono de celular,Capacitaciones y/o cursos,Vacaciones flexibles (adicionales a las reglamentarias)"
90,Chubut,2-10,Servicios / Consultoría de Software / Digital,6340,4348,7164,8373,5988,,"ABAP,Assembler,Bash/Shell,COBOL,Dart,Groovy,Scala","Flutter,SAP,Vue.js","Amazon Redshift,Apache HBase,Microsoft SQL Server,Redis,Sybase","Postman,Ranorex,TFS","Atom,Coda","Estacionamiento gratuito / subvencionado,Licencia de paternidad / maternidad extendida,Stock options / RSUs"
91,San Juan,2001-5000,Producto basado en Software,6477,3241,7262,241,804,"AIX,Microcontroladores,Solaris","Assembler,COBOL,HTML,Kotlin,Smalltalk,Solidity","Node.js,Vue.js","Amazon DynamoDB,Oracle,Percona XtraDB Cluster",Xunit,,"Capacitaciones y/o cursos,Clases de idiomas"
92,Provincia de Buenos Aires,1 (solamente yo),Servicios / Consultoría de Software / Digital,1578,6063,8115,7695,8861,"AIX,Amazon Web Services,Linux,Mainframe","Assembler,Groovy,Perl,Smalltalk","Flutter,Rails,React.js","ProxySQL,Teradata","Appium,OpenQA,Telerik Studio",,
93,Santiago del Estero,51-100,Producto basado en Software,7670,5400,5768,4353,7518,"Amazon Web Services,Serverless","Assembler,SQL","Hadoop,Spring","Informix,MongoDB,Sybase","HP LoadRunner,Lippia,Mocha,PHPUnit,SoapUI","IntelliJ,TextMate","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Estacionamiento gratuito / subvencionado"
94,Corrientes,2-10,Producto basado en Software,2648,9215,685,1296,4879,"Linux,Solaris","Clojure,Java,Swift","Bootstrap,jQuery",,"NUnit,RSpec,Selenium","IPython / Jupyter,Komodo,PHPStorm,RStudio",Licencia de paternidad / maternidad extendida
95,Entre Ríos,201-500,Otras industrias,9445,1521,9412,6934,9309,IBM Cloud / Watson,".NET,Ruby","Bootstrap,Flask,Node.js","Amazon DynamoDB,Microsoft SQL Server","Cypress,Watir",IntelliJ,"Capacitaciones y/o cursos,Estacionamiento gratuito / subvencionado,Stock options / RSUs"
96,Salta,2-10,Otras industrias,9027,360,8238,6864,358,"Google Cloud Platform/App Engine,OpenShift,VMWare","Arduino,Delphi,Go,Objective-C,R,Smalltalk",,"Apache HBase,IBM Db2,Microsoft SQL Server","Cucumber,Katalon,Ranorex","Android Studio,Eclipse,IPython / Jupyter,NetBeans,Notepad++,PyCharm,Sublime Text","Lactario en la oficina,Licencia de paternidad / maternidad extendida"
97,Entre Ríos,11-50,Servicios / Consultoría de Software / Digital,211,3148,6362,4959,3232,"*BSD,IBM Cloud / Watson,Microcontroladores","Assembler,Elixir,HTML,Objective-C,Ruby,TypeScript","Angular,Flutter","Amazon RDS/Aurora,Cassandra,HANA,MongoDB,Percona XtraDB Cluster,SQLite","OpenQA,SoapUI",,"Abono de Internet,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Stock options / RSUs"
98,San Juan,51-100,Servicios / Consultoría de Software / Digital,65,2107,761,5849,3115,"Firebase,Google Cloud Platform/App Engine,IBM Cloud / Watson,SAP,Windows Server","Clojure,CSS,Delphi",".NET Core,Akka,jQuery,Spark,Spring","Aerospike,Amazon DynamoDB,Amazon Redshift,Apache HBase,Cassandra,Oracle","Puppeteer,Selenium,SoapUI,Telerik Studio","Eclipse,Komodo,RStudio","Abono de Internet,Licencia de paternidad / maternidad extendida"
99,Chubut,101-200,Producto basado en Software,1298,1829,411,3993,337,"Docker,OpenStack,VMWare","Erlang,Javascript,R","Flask,SwiftUI","IBM Db2,Microsoft SQL Server,MongoDB","Appium,Cucumber,HP LoadRunner,Xunit","Komodo,Vi,Visual Studio",Abono de Internet
100,Jujuy,101-200,Servicios / Consultoría de Software / Digital,8565,3263,8755,3404,8080,"HP-UX,Solaris,Serverless",Swift,"jQuery,Spring","Aerospike,ElasticSearch,Microsoft Azure (Tables, CosmosDB, SQL, etc),Microsoft SQL Server","Appium,Silktest,Xunit","PHPStorm,RStudio","Capacitaciones y/o cursos,Clases de idiomas,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Estacionamiento gratuito / subvencionado"
101,Chaco,1001-2000,Servicios / Consultoría de Software / Digital,8367,7645,13,4471,9879,"Azure,OpenStack,Windows Server","HTML,Kotlin,PHP,Ruby","Django,Laravel","Amazon RDS/Aurora,ElasticSearch,Microsoft SQL Server,Percona Server,PostgreSQL","RSpec,Test Complete",Sublime Text,"Abono de celular,Abono de Internet,Descuento en gimnasios / Clases de gimnasia online,Horarios flexibles,Sueldo divido en dos pagos por mes"
102,Córdoba,1 (solamente yo),Producto basado en Software,9538,6913,7654,8906,3127,"Arduino o similar,HP-UX,Linux,OpenShift,SAP","C++,Go,Matlab,VBA","Flask,Hibernate,jQuery,Laravel,Symfony,WordPress","Google Cloud Storage,Informix,Teradata","OpenQA,Puppeteer,Test Complete","IPython / Jupyter,Notepad++,PHPStorm,RStudio,Zend","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Stock options / RSUs,Vacaciones flexibles (adicionales a las reglamentarias)"
103,San Juan,10001+,Servicios / Consultoría de Software / Digital,7032,5024,7111,1349,412,"Firebase,VMWare",Kotlin,.NET Core,"Informix,Microsoft Azure (Tables, CosmosDB, SQL, etc)","Cypress,RSpec","Atom,Coda,Notepad++","Capacitaciones y/o cursos,Sueldo divido en dos pagos por mes"
104,Catamarca,101-200,Producto basado en Software,2581,2819,1055,7091,1235,"Google Cloud Platform/App Engine,Mainframe","Assembler,C++,Perl","SAP,Symfony,Vue.js","Amazon Redshift,HANA",Lippia,"Emacs,Komodo,PHPStorm,RStudio,Sublime Text,WebStorm","Comidas pagas / subvencionadas,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Lactario en la oficina"
105,La Pampa,1001-2000,Producto basado en Software,5385,3589,9530,8224,4791,,"C#,Python",".NET Core,Django,Laravel","MySQL,PostgreSQL","NUnit,Silktest,TFS","PHPStorm,Vim,WebStorm","Horarios flexibles,Licencia de paternidad / maternidad extendida,Viáticos"
106,Salta,11-50,Servicios / Consultoría de Software / Digital,8211,738,8798,6624,7102,,"Assembler,Objective-C,SQL",".NET Core,CodeIgniter,Flutter,Spark,WordPress","Amazon RDS/Aurora,ElasticSearch,Google Cloud Storage,MongoDB,Redis","Appium,Silktest",RStudio,"Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Sueldo divido en dos pagos por mes"
107,Mendoza,10001+,Otras industrias,6478,1785,6830,1236,9207,AIX,"Assembler,Dart,Smalltalk,Swift",Hibernate,"Informix,MongoDB","Jest,JUnit,SoapUI,Test Complete,Visual Studio Coded UI","Atom,PyCharm","Abono de celular,Clases de idiomas"
108,Misiones,101-200,Servicios / Consultoría de Software / Digital,9563,4767,5237,2147,333,SAP,"Solidity,VBA","Bootstrap,jQuery,Laravel","Oracle,Percona Server",,"Nano,Xcode","Descuento en gimnasios / Clases de gimnasia online,Sueldo divido en dos pagos por mes"
109,La Rioja,501-1000,Servicios / Consultoría de Software / Digital,2467,5329,6970,8682,4127,"Google Cloud Platform/App Engine,HP-UX,OpenShift","ABAP,Assembler,Dart","Bootstrap,Flutter,SwiftUI,SAP,WordPress","Amazon Redshift,Informix,Teradata","Appium,HP UFT,Katalon,SoapUI,Xunit","Visual Studio,WebStorm,Zend","Descuento en gimnasios / Clases de gimnasia online,Clases de idiomas"
110,Catamarca,51-100,Servicios / Consultoría de Software / Digital,6113,7942,7418,5539,6026,Solaris,"Arduino,C++,Go,Python,R","SAP,WordPress","Cassandra,Neo4j",,"Komodo,Notepad++",Viáticos
111,Entre Ríos,10001+,Producto basado en Software,6043,2350,7048,1422,9882,"Google Cloud Platform/App Engine,IBM Cloud / Watson,VMWare","C++,Clojure,Elixir,Kotlin,PHP,SQL","Flask,React.js,Torch,Vue.js",ElasticSearch,JUnit,"Nano,NetBeans,Visual Studio,Xcode",
112,Jujuy,2001-5000,Producto basado en Software,73,6927,6619,5576,5637,"AIX,Arduino o similar,IBM Cloud / Watson,SAP",Solidity,"CodeIgniter,Django,TensorFlow","Amazon RDS/Aurora,IBM Db2,MariaDB,MySQL,Neo4j,Oracle",,Eclipse,
113,Tucumán,101-200,Servicios / Consultoría de Software / Digital,3033,3419,2769,1054,4823,Solaris,"Java,Javascript,Smalltalk","Cordova,Django","IBM Db2,Microsoft SQL Server","Lippia,Xunit","Atom,PHPStorm,PyCharm","Stock options / RSUs,Vacaciones flexibles (adicionales a las reglamentarias)"
114,La Rioja,1 (solamente yo),Otras industrias,1648,6165,5057,808,0,"Docker,HP-UX,IBM Cloud / Watson,Mainframe","C,Elixir,Smalltalk",React.js,"Apache HBase,ElasticSearch,HANA,Informix",OpenQA,"Eclipse,Komodo,PyCharm,Zend","Abono de celular,Comidas pagas / subvencionadas"
115,San Juan,1001-2000,Servicios / Consultoría de Software / Digital,4091,7741,8978,5564,1875,"Google Cloud Platform/App Engine,HP-UX","Objective-C,Smalltalk","Akka,Hibernate,jQuery,Spark","Oracle,Percona XtraDB Cluster","JUnit,Lippia,Selenium,Xunit","Komodo,Sublime Text","Abono de Internet,Clases de idiomas"
116,Chubut,10001+,Servicios / Consultoría de Software / Digital,8987,7689,607,9016,7777,"HP-UX,Kubernetes,Microcontroladores,Serverless","HTML,PHP",Hadoop,ElasticSearch,"OpenQA,Test Complete,Watir","Nano,RStudio,Sublime Text,TextMate",Vacaciones flexibles (adicionales a las reglamentarias)
117,Mendoza,51-100,Servicios / Consultoría de Software / Digital,5338,8287,270,9356,6254,,"ABAP,Go,Elixir,Objective-C,Scala,VBA","Drupal,Flask","PostgreSQL,ProxySQL,Sybase","Cypress,RSpec,SoapUI",,"Descuento en gimnasios / Clases de gimnasia online,Clases de idiomas"
118,Jujuy,51-100,Producto basado en Software,1393,141,1517,8239,8932,"Kubernetes,Serverless,VMWare","C,Clojure","Bootstrap,Spark",Sybase,"Cucumber,Cypress,PHPUnit,Puppeteer,Silktest,Telerik Studio,Xunit","PyCharm,Sublime Text,Zend","Abono de celular,Abono de Internet,Capacitaciones y/o cursos,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Horarios flexibles,Sueldo divido en dos pagos por mes"
119,Jujuy,10001+,Servicios / Consultoría de Software / Digital,1616,4143,570,3574,6157,Mainframe,"Bash/Shell,C++,C#,Dart,Javascript","jQuery,Spring,TensorFlow","Aerospike,ProxySQL","Jest,Lippia",IPython / Jupyter,Abono de Internet
120,Santiago del Estero,1 (solamente yo),Producto basado en Software,7316,5860,4622,3526,6815,"Amazon Web Services,Windows Server",".NET,Delphi","React.js,SAP","Google Cloud Storage,HANA,Percona XtraDB Cluster,Redis,Sybase","Katalon,Mocha,NUnit,Postman,Ranorex,Telerik Studio",Eclipse,"Descuento en gimnasios / Clases de gimnasia online,Lactario en la oficina,Stock options / RSUs"
121,La Pampa,51-100,Servicios / Consultoría de Software / Digital,7011,7368,2501,5812,7190,"Amazon Web Services,Arduino o similar,Heroku,Linux,OpenStack,VMWare","Bash/Shell,Ruby,Scala,Solidity,VBA",Spring,"Amazon Redshift,HANA,PostgreSQL,Redis","Cypress,Watir",,Sueldo divido en dos pagos por mes
122,Provincia de Buenos Aires,201-500,Otras industrias,7859,9313,6429,1487,6369,"Docker,Heroku,SAP,VMWare",".NET,Java,R",Cordova,"Microsoft Azure (Tables, CosmosDB, SQL, etc)","Mocha,RSpec,SoapUI","Android Studio,Atom,PHPStorm,RStudio","Cuota para universidad / posgrados,Vacaciones flexibles (adicionales a las reglamentarias)"
123,Formosa,501-1000,Otras industrias,7017,9772,713,3474,3750,"Docker,Kubernetes,Serverless","Groovy,Erlang,HTML,Kotlin,Perl,Smalltalk,TypeScript","Cordova,jQuery,Laravel,React.js","Amazon DynamoDB,Sybase","Karma,NUnit,RSpec,Selenium,Silktest,TFS","Android Studio,Komodo,Notepad++,WebStorm","Descuento en gimnasios / Clases de gimnasia online,Clases de idiomas,Horarios flexibles"
124,Chaco,2001-5000,Servicios / Consultoría de Software / Digital,7943,5477,4250,1448,4793,IBM Cloud / Watson,"Rust,Swift",,Cassandra,"Cypress,Puppeteer,Telerik Studio,Watir","Coda,Eclipse",Capacitaciones y/o cursos
125,Salta,51-100,Producto basado en Software,2466,9007,6687,567,6643,Amazon Web Services,"Groovy,HTML,Java,Ruby","Angular,Cordova,Drupal,Hibernate",Percona Server,"Cucumber,Cypress,JUnit","NetBeans,PHPStorm,WebStorm",Estacionamiento gratuito / subvencionado
126,Córdoba,101-200,Producto basado en Software,4885,7714,545,4864,1880,"Arduino o similar,Firebase,Heroku,Microcontroladores","Assembler,Kotlin,Solidity",,,"HP LoadRunner,Puppeteer","Coda,Eclipse","Abono de celular,Cuota para universidad / posgrados,Licencia de paternidad / maternidad extendida"
127,Salta,1001-2000,Producto basado en Software,5034,7049,3234,9745,3758,"Azure,Heroku","Dart,Scala,Solidity","Akka,Spring","HANA,Percona Server,ProxySQL",,"Vi,Zend","Abono de celular,Capacitaciones y/o cursos,Clases de idiomas,Lactario en la oficina"
128,Entre Ríos,1 (solamente yo),Servicios / Consultoría de Software / Digital,1784,85,4655,3405,3613,Solaris,"CSS,Delphi,Perl,Python","Akka,Angular,Django,TensorFlow",,"Cucumber,SoapUI","NetBeans,TextMate","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
129,Neuquén,201-500,Otras industrias,3771,3939,4393,2123,9956,"AIX,Amazon Web Services","C#,CSS,Elixir","Cordova,Spring,Vue.js",Oracle,"HP LoadRunner,NUnit,RSpec,Xunit","IntelliJ,NetBeans","Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)"
130,Corrientes,51-100,Otras industrias,5979,3153,4826,3827,6903,"AIX,Azure","COBOL,CSS,Groovy,Ruby,VBA","Node.js,Spring,Torch","Apache HBase,Cassandra,Microsoft Azure (Tables, CosmosDB, SQL, etc),Percona Server,Redis",Lippia,"PHPStorm,WebStorm","Estacionamiento gratuito / subvencionado,Lactario en la oficina"
131,Provincia de Buenos Aires,2001-5000,Servicios / Consultoría de Software / Digital,8823,2189,2748,1173,2606,"Firebase,Kubernetes,OpenShift",".NET,Java,Smalltalk","Node.js,Spark","Amazon RDS/Aurora,IBM Db2,SQLite","Appium,HP LoadRunner,JUnit,OpenQA,Puppeteer",Visual Studio Code,"Abono de celular,Descuento en gimnasios / Clases de gimnasia online"
132,La Rioja,101-200,Otras industrias,3677,4414,6430,2525,2558,"Firebase,Linux,Solaris,VMWare",".NET,HTML,Ruby,Solidity",,"Informix,PostgreSQL,Sybase",,"Komodo,Nano,NetBeans,RStudio,Vi","Clases de idiomas,Stock options / RSUs"
133,San Juan,2001-5000,Servicios / Consultoría de Software / Digital,3473,1428,9695,682,7290,"Amazon Web Services,Heroku","Delphi,Solidity",Cordova,Apache Hive,"Cucumber,HP LoadRunner,Silktest","WebStorm,Xcode","Horarios flexibles,Sueldo divido en dos pagos por mes"
134,Entre Ríos,2001-5000,Producto basado en Software,6074,4885,1630,4857,8085,"Linux,Microcontroladores,VMWare","C++,Java,Swift","Hadoop,Node.js,Spring,Vue.js","Neo4j,Oracle,SQLite","Cucumber,HP UFT,Puppeteer,Test Complete",WebStorm,"Cuota para universidad / posgrados,Sueldo divido en dos pagos por mes"
135,La Rioja,11-50,Otras industrias,7505,6002,6596,2939,6963,"Azure,Linux,Solaris,VMWare","COBOL,Kotlin,R,VBA","Bootstrap,Hadoop,Node.js,Spark,TensorFlow,Torch","Apache HBase,Oracle,Percona XtraDB Cluster,ProxySQL,Sybase,Teradata","Cucumber,Lippia","Komodo,Visual Studio Code,Zend",
136,La Rioja,5001-10000,Otras industrias,1828,2638,3268,8701,4943,"Amazon Web Services,Azure,VMWare","Assembler,C","Angular,Laravel,React.js",Redis,Test Complete,"Coda,Vim","Abono de Internet,Stock options / RSUs"
137,Jujuy,101-200,Otras industrias,2435,8812,3,551,7080,"Arduino o similar,Docker,OpenStack","Arduino,Python,SQL,TypeScript",".NET Core,Akka,Angular,CodeIgniter,Hadoop","Amazon Redshift,Percona XtraDB Cluster,ProxySQL,SQLite","Postman,Ranorex,Test Complete","PHPStorm,Visual Studio Code",Clases de idiomas
138,Ciudad Autónoma de Buenos Aires,1 (solamente yo),Producto basado en Software,4445,6448,5231,6688,7063,"OpenShift,Solaris","COBOL,HTML,Kotlin,Matlab",Spring,"HANA,Percona Server,SQLite","HP LoadRunner,HP UFT,SoapUI,Visual Studio Coded UI","Android Studio,Emacs,Komodo,Vi,Xcode",Cuota para universidad / posgrados
139,Mendoza,201-500,Producto basado en Software,6339,5370,7709,9888,5916,"Azure,VMWare",,".NET Core,Hibernate,Torch","Apache Hive,HANA,MongoDB","Cypress,Ranorex","NetBeans,PHPStorm","Comidas pagas / subvencionadas,Cuota para universidad / posgrados,Stock options / RSUs"
140,La Rioja,101-200,Otras industrias,6237,1985,3725,829,2583,"HP-UX,OpenShift","ABAP,PHP",".NET Core,Drupal,Flask",PostgreSQL,"Karma,Telerik Studio","PyCharm,Sublime Text",Descuento en gimnasios / Clases de gimnasia online
141,Córdoba,11-50,Servicios / Consultoría de Software / Digital,1698,5777,1615,5939,2106,Mainframe,"Bash/Shell,Dart,Kotlin,Objective-C,Perl",Flutter,"Amazon DynamoDB,Percona Server","Cypress,Katalon,Puppeteer,Xunit","IPython / Jupyter,Nano,RStudio,Vim,Visual Studio Code,WebStorm",
142,Santa Fe,2001-5000,Servicios / Consultoría de Software / Digital,3816,3947,3246,6619,3576,,Groovy,"Flask,Flutter,Rails","Apache HBase,Microsoft Azure (Tables, CosmosDB, SQL, etc),MySQL",Lippia,PyCharm,"Estacionamiento gratuito / subvencionado,Horarios flexibles,Licencia de paternidad / maternidad extendida"
143,San Juan,1001-2000,Servicios / Consultoría de Software / Digital,1728,1438,163,9261,5359,IBM Cloud / Watson,"Bash/Shell,COBOL,Elixir,Matlab","Bootstrap,TensorFlow","ElasticSearch,IBM Db2,ProxySQL","Silktest,TFS","Emacs,Nano,PyCharm,TextMate","Cuota para universidad / posgrados,Horarios flexibles"
144,Entre Ríos,101-200,Producto basado en Software,1986,1921,8175,9390,9472,Firebase,"Assembler,C,Javascript,Smalltalk,SQL","Hibernate,Node.js,Spark,WordPress","Amazon RDS/Aurora,Informix,ProxySQL",NUnit,Nano,"Capacitaciones y/o cursos,Lactario en la oficina,Licencia de paternidad / maternidad extendida"
145,Mendoza,51-100,Producto basado en Software,745,7138,9905,8566,6234,AIX,"Assembler,Bash/Shell,Elixir,Erlang,Ruby,Solidity,TypeScript","Rails,Torch","Apache Hive,MariaDB",Cucumber,"Komodo,Vi,Visual Studio Code,Zend","Comidas pagas / subvencionadas,Vacaciones flexibles (adicionales a las reglamentarias)"
146,Ciudad Autónoma de Buenos Aires,5001-10000,Producto basado en Software,6770,7295,2581,4605,7881,"Heroku,IBM Cloud / Watson,Linux,OpenShift","SQL,VBA",,"Aerospike,Amazon RDS/Aurora,Google Cloud Storage,HANA,Oracle","Ranorex,RSpec,Selenium,Telerik Studio",,"Descuento en gimnasios / Clases de gimnasia online,Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc),Viáticos"
147,Tierra del Fuego,501-1000,Servicios / Consultoría de Software / Digital,34,193,6082,5782,543,"*BSD,HP-UX","ABAP,Clojure,COBOL,PHP,Scala,SQL",".NET Core,Symfony,Vue.js","Microsoft Azure (Tables, CosmosDB, SQL, etc),Percona Server,Redis",HP LoadRunner,"Komodo,Visual Studio Code",Capacitaciones y/o cursos
148,La Pampa,5001-10000,Producto basado en Software,87,7392,6960,6697,2236,Kubernetes,"Matlab,Rust",,Informix,"Lippia,Silktest",RStudio,"Capacitaciones y/o cursos,Lactario en la oficina"
149,Formosa,5001-10000,Otras industrias,6243,1697,1897,99,4402,"Amazon Web Services,Heroku,Microcontroladores,Mainframe","Ruby,Smalltalk,SQL,TypeScript","Cordova,Vue.js","Cassandra,HANA","Cucumber,RSpec","Android Studio,Eclipse,IntelliJ",Clases de idiomas
150,GBA,1001-2000,Producto basado en Software,8004,6674,5392,133,4472,"Arduino o similar,OpenShift","CSS,Rust,Swift","Torch,WordPress","Apache HBase,Microsoft Azure (Tables, CosmosDB, SQL, etc)","Lippia,Watir,Xunit",,"Lactario en la oficina,Vacaciones flexibles (adicionales a las reglamentarias)"
151,Neuquén,2-10,Producto basado en Software,8323,3281,5268,5900,4835,SAP,"Rust,Swift","SwiftUI,TensorFlow",MySQL,Puppeteer,"Vi,Xcode",
